title,address,area,price,number_bedroom,number_wc,number_floor,direction,entrance,facade,number_parking,id_estate
"Bán chung cư đình thôn, mỹ đình, sổ hồng vĩnh viễn, full đồ ở ngay.","Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",34,700,1,1,,,3,,,3954232
Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa.,"Quận Đống Đa, Hà Nội",50,900,2,1,,,5,,,3856243
Bán chung cư trích sài - view hồ tây - cách hồ tấy 50m.,"Quận Tây Hồ, Hà Nội",35,800,1,1,,,,,,3920912
Bán chung cư hoàng hoa thám - ngõ ô tô - sỗ hồng vĩnh viễn.,"Quận Bắc Từ Liêm, Hà Nội",35,680,1,1,,,,,,3923982
"Bán chung cư đình thôn, mỹ đình, sổ hồng vĩnh viễn, full đồ ở ngay.","Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",34,700,1,1,,,3,,,3954232
Bán căn hộ chung cư tôn thất tùng - view hồ - ô tô đỗ cửa.,"Quận Đống Đa, Hà Nội",50,900,2,1,,,5,,,3856243
"Ban chung cư mini trích sài, view hồ tây, đẹp lung linh,diện tích từ 33,37, 55m2","Quận Tây Hồ, Hà Nội",33,680,1,1,,,,,,3924427
Bán chung cư nguyễn trãi thanh xuân 1 đến 3 ngủ,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",33,720,1,1,,,,,,3925310
Quỹ căn vinhomes smart city 1pn - 3pn từ chủ đầu tư chiết khấu cao,"Vinhomes Smart City, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",54,1700.0,,,,,,,,3956399
Quỹ căn 3 - 4 pn chung cư brg diamond - 25 lê văn lương,"Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",103,6200.0,3,2,,,,,,3956402
Đón đầu đại lộ đông tây rộng 32m với bcons plaza ngay trong làng đại học thủ đức,"Thống Nhất, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1700.0,2,2,28,,20,20,1,3946562
Căn hộ ngay làng đại học quốc gia - giỏ hàng sang nhượng giá tốt,"Thống Nhất, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương",51,1700.0,2,2,28,,20,20,1,3945982
290 triệu sở hữu căn hộ cách phạm văn đồng 3 phút xe máy,"Bế Văn Đàn, Phường An Bình, Thị Xã Dĩ An, Bình Dương",54,1900.0,2,2,29,,12,12,1,3945962
Mua nhà xinh ngần ưu đãi với legacy central,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,900,1,1,29,,,,,3940952
Căn hộ chung cư hạng sang giá bình dân thuận lợi an cư và đầu tư.,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,900,1,1,29,,,,1,3941435
Chỉ 225 triệu(25%) sở hữu ngay căn hộ hạng sang tại thành phố thuận an.n,"Legacy Central, Thị Xã Thuận An, Bình Dương",33,900,1,1,29,,,,1,3941445
